rss,vms,shared,text,lib,data,dirty,uss,pss,swap,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
933888,2387968,839680,4096,0,229376,0,106496,156672,0,9,0,0,0,3980,0
933888,2387968,839680,4096,0,229376,0,106496,149504,0,9,0,0,0,3980,0
933888,2387968,839680,4096,0,229376,0,106496,156672,0,9,0,0,0,3980,0
933888,2387968,839680,4096,0,229376,0,106496,156672,0,9,0,0,0,3980,0
933888,2387968,839680,4096,0,229376,0,106496,149504,0,9,0,0,0,3980,0
933888,2387968,839680,4096,0,229376,0,106496,156672,0,9,0,0,0,3980,0
933888,2387968,839680,4096,0,229376,0,106496,156672,0,9,0,0,0,3980,0
933888,2387968,839680,4096,0,229376,0,106496,156672,0,9,0,0,0,3980,0
933888,2387968,839680,4096,0,229376,0,106496,156672,0,9,0,0,0,3980,0
933888,2387968,839680,4096,0,229376,0,106496,156672,0,9,0,0,0,3980,0
933888,2387968,839680,4096,0,229376,0,106496,156672,0,9,0,0,0,3980,0
