rss,vms,shared,text,lib,data,dirty,uss,pss,swap,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
8404992,14352384,4837376,2756608,0,5152768,0,3715072,5252096,0,62,1,0,4096,284728,4
8404992,14352384,4837376,2756608,0,5152768,0,3710976,5224448,0,62,1,0,4096,284728,4
8404992,14352384,4837376,2756608,0,5152768,0,3715072,5252096,0,62,1,0,4096,284728,4
8404992,14352384,4837376,2756608,0,5152768,0,3715072,5252096,0,62,1,0,4096,284728,4
8404992,14352384,4837376,2756608,0,5152768,0,3715072,5252096,0,62,1,0,4096,284728,4
8404992,14352384,4837376,2756608,0,5152768,0,3715072,5252096,0,62,1,0,4096,284728,4
8404992,14352384,4837376,2756608,0,5152768,0,3710976,5224448,0,62,1,0,4096,284728,4
8404992,14352384,4837376,2756608,0,5152768,0,3715072,5252096,0,62,1,0,4096,284728,4
8404992,14352384,4837376,2756608,0,5152768,0,3715072,5252096,0,62,1,0,4096,284728,4
8404992,14352384,4837376,2756608,0,5152768,0,3715072,5252096,0,62,1,0,4096,284728,4
